"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05-20-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-21-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-22-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-23-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-24-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-25-2022","AQS","320030075","1","0.4","ppm","5","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-26-2022","AQS","320030075","1","0.4","ppm","5","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-27-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-28-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-29-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-30-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"05-31-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","16","67.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-01-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-02-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-03-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-04-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-05-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-06-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-07-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-08-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-09-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-10-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-11-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-12-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-13-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-14-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-15-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-16-2022","AQS","320030075","1","0.3","ppm","3","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-17-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-18-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-19-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-20-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-21-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-22-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-23-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-24-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-25-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-26-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
"06-27-2022","AQS","320030075","1","0.2","ppm","2","Joe Neal","24","100.0000","42101","Carbon monoxide","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.270592","-115.238282"
